index,prediction
75344,"10.8cm, 10.4cm"
75345,"10.8cm, 10.4cm"
75346,"75 cm, 29.52 in, 150 cm, 59.05 in"
75347,"75 cm, 29.52 in, 150 cm, 59.05 in"
75348,"21cm, 180cm"
75349,"21cm, 180cm"
75350,
75351,
75352,"80 mm, 30 mm"
75353,"12 inch, 6 inch, 16 inch"
75354,"12 inch, 6 inch, 16 inch"
75355,"6.9 in, 17.5 cm, 27 in, 69 cm"
75356,"6.9 in, 17.5 cm, 27 in, 69 cm"
75357,
75358,
75359,
75360,"11.5 inch, 288 mm, 4mm, 0.16 inch"
75361,
75362,"11.3 cm, 9.8 cm"
75363,"11.3 cm, 9.8 cm"
75364,"1.2 inch, 6.7 inch"
75365,"1.2 inch, 6.7 inch"
75366,11.5cm
75367,11.5cm
75368,11.5cm
75369,"182 cm, 30 cm, 40 cm"
75370,"3.9cm, 3.93in, 3.93in"
75371,"3.9cm, 3.93in, 3.93in"
75372,"14.96 in, 12.60 in, 4.33 in, 12.2 in, 06 in, 36.54 in, 24 in, 20.27 in, 10.24 in"
75373,"14cm, 13.2cm"
75374,"14.17in, 7in, 36cm, 18cm, 14.17in, 36cm, 17in, 36cm"
75375,
75376,14 inch
75377,"7 in, 14.25 in, 7.5 in"
75378,"1 lb, 26.0 ounce"
75379,
75380,
75381,7.5 in
75382,7.5 in
75383,7.5 in
75384,
75385,
75386,
75387,64mm
75388,64mm
75389,
75390,
75391,
75392,"45cm, 45cm"
75393,
75394,
75395,"31.5cm, 12.4inch, 5cm, 2.9inch, 14.3cm, 5.6inch"
75396,110 mm
75397,110 mm
75398,
75399,"5.5inch, 4.9inch, 4.5inch, 4.7inch, 4.3inch, 3.5inch"
75400,"5.5inch, 4.9inch, 4.5inch, 4.7inch, 4.3inch, 3.5inch"
75401,78mm
75402,
75403,"117 cm, 111 cm"
75404,"117 cm, 111 cm"
75405,"7.8inch, 0.82inch, 2.1cm"
75406,"7.8inch, 0.82inch, 2.1cm"
75407,21v
75408,21v
75409,"3.1 in, 8.0 cm"
75410,"3.1 in, 8.0 cm"
75411,5.6cm
75412,"9.84 in, 25 cm"
75413,"9.84 in, 25 cm"
75414,
75415,
75416,
75417,
75418,
75419,
75420,
75421,
75422,"1200w, 1200w"
75423,"1200w, 1200w"
75424,"4.3mm, 5.7mm, 170mm, 12.9mm, 23.3mm"
75425,35cm
75426,35cm
75427,
75428,
75429,4in
75430,"12cm, 8cm, 29cm"
75431,
75432,"206mm, 140mm, 233mm, 125mm, 187mm, 65mm"
75433,"5.5 inch, 4 inch"
75434,"5.5 inch, 4 inch"
75435,14cm
75436,"15in, 12in"
75437,"15in, 12in"
75438,"5v, 435v"
75439,"3cm, 1cm, 11cm, 9cm"
75440,"20 cm, 8 in, 7 in"
75441,"20 cm, 8 in, 7 in"
75442,"29cm, 5cm, 5cm"
75443,1in
75444,1in
75445,"36cm, 30cm"
75446,"36cm, 30cm"
75447,68oz
75448,"13.7 in, 35 cm"
75449,
75450,"3.54in, 1.18in"
75451,"3.54in, 1.18in"
75452,
75453,
75454,"10.4 cm, 10.5 cm, 12 cm, 10.4 cm"
75455,"13.8 in, 35.0 cm, 15.7 in, 40.0 cm"
75456,"13.8 in, 35.0 cm, 15.7 in, 40.0 cm"
75457,"13.8 in, 35.0 cm, 15.7 in, 40.0 cm"
75458,3.2kg
75459,7cm
75460,
75461,240 lbs
75462,
75463,"4.6 cm, 4.6cm, 4.6cm"
75464,"4.6 cm, 4.6cm, 4.6cm"
75465,"4.6 cm, 4.6cm, 4.6cm"
75466,"71mm, 2.8inch"
75467,5.5cm
75468,220 cm
75469,220 cm
75470,220 cm
75471,
75472,
75473,"30cm, 3.8cm"
75474,"30cm, 3.8cm"
75475,"30cm, 3.8cm"
75476,"10 inch, 10 inch, 5 inch"
75477,"10 inch, 10 inch, 5 inch"
75478,"7.1 in, 18.0 cm, 4.7 in, 12.0 cm"
75479,"7.1 in, 18.0 cm, 4.7 in, 12.0 cm"
75480,"120mm, 120mm, 270mm, 160mm"
75481,34cm
75482,34cm
75483,34cm
75484,
75485,"5 cm, 8 cm"
75486,"5 cm, 8 cm"
75487,"1.02inch, 26mm"
75488,"1.02inch, 26mm"
75489,"19.68in, 6.3in, 38cm, 14.96in, 16cm"
75490,
75491,
75492,
75493,
75494,"8 cm, 6 cm"
75495,"17 cm, 18 cm"
75496,"17 cm, 18 cm"
75497,"13 cm, 5.12 in"
75498,"120mm, 190mm, 32mm, 500mm"
75499,"764 mm, 68 mm, 125 mm"
75500,20cm
75501,20cm
75502,10.5inch
75503,10.5inch
75504,10.5inch
75505,
75506,1.6inch
75507,1.6inch
75508,2.8cm
75509,2.8cm
75510,"13.3cm, 22.7cm"
75511,"86cm, 34inch"
75512,"1.2m, 3.9ft"
75513,"1.2m, 3.9ft"
75514,12 cm
75515,"200mm, 330mm, 680mm"
75516,79cm
75517,79cm
75518,79cm
75519,"8in, 13.8cm, 5.4in"
75520,
75521,85mm
75522,
75523,
75524,"19 cm, 12 cm, 17 cm"
75525,"320mm, 260mm"
75526,"320mm, 260mm"
75527,"8.4cm, 3.3in, 7cm, 4.2in, 3.3cm, 2in"
75528,
75529,
75530,"8.26 in, 21 cm"
75531,
75532,
75533,
75534,
75535,
75536,20.6mm
75537,
75538,"6cm, 2.36in"
75539,"6cm, 2.36in"
75540,20mm
75541,20mm
75542,"3.5in, 9cm, 4.9in, 9.6in, 24.5cm"
75543,"5 cm, 36.5 cm, 1 cm, 49 cm"
75544,
75545,
75546,
75547,
75548,
75549,
75550,
75551,
75552,"11.8in, 19.25in"
75553,"11.8in, 19.25in"
75554,"11.8in, 19.25in"
75555,"1 cm, 38cm, 37cm"
75556,2kg
75557,350lb
75558,205mm
75559,"9mm, 23mm, 4mm"
75560,"5.7 in, 7.7 in"
75561,"5.7 in, 7.7 in"
75562,"5.9in, 5.5in, 0.71in, 0.47in"
75563,"43.3 in, 135cm"
75564,
75565,
75566,"35.5 cm, 10 cm, 107.5 cm, 151.5cm, 46 cm, 36.5 cm"
75567,250kg
75568,"2.75in, 17.29in, 44.00cm"
75569,"2.75in, 17.29in, 44.00cm"
75570,"26.00 cm, 10.23 in"
75571,"2.4 inch, 6.6 inch"
75572,"2.4 inch, 6.6 inch"
75573,"100mm, 120mm, 185mm"
75574,"25cm, 45cm"
75575,"25cm, 45cm"
75576,3 inch
75577,3 inch
75578,3 cm
75579,"6.1 in, 15.4 cm, 2.4 in, 6.1 cm"
75580,"6.1 in, 15.4 cm, 2.4 in, 6.1 cm"
75581,"87mm, 3.43in, 145mm, 5.71in, 58mm, 2.28in"
75582,"1.8kg, 3.97lbs"
75583,"60mm, 2.36in"
75584,"5.31 in, 73.5 cm"
75585,"5.31 in, 73.5 cm"
75586,"115mm, 115mm"
75587,"10.03cm, 13.95in, 10.03cm, 3.95in, 95in, 03cm"
75588,"1.7cm, 0.66in, 13cm, 5.11in"
75589,"1.7cm, 0.66in, 13cm, 5.11in"
75590,"8 cm, 20cm"
75591,"8 cm, 20cm"
75592,"70 cm, 59 cm, 58 cm"
75593,"22cm, 8.7in, 60cm, 23.6in"
75594,"16cm, 6.29in, 5.8cm, 2.28in"
75595,"2cm, 8cm"
75596,330lbs
75597,"59 inch, 150cm"
75598,"59 inch, 150cm"
75599,"5.8in, 8.5 in, 8.3in, 3.3in, 6.5in"
75600,5.7in
75601,"5.3inch, 13.5cm"
75602,"5.3inch, 13.5cm"
75603,3.5cm
75604,92cm
75605,"415.5 inch, 44cm, 9.7 inch, 32cm, 17cm, 130cm, 168cm"
75606,"415.5 inch, 44cm, 9.7 inch, 32cm, 17cm, 130cm, 168cm"
75607,"67cm, 47cm"
75608,"67cm, 47cm"
75609,2800w
75610,2800w
75611,3.3inch
75612,3.3inch
75613,"1.1lb, 48kg"
75614,
75615,
75616,"84 in, 38 in, 46 in"
75617,"84 in, 38 in, 46 in"
75618,32cm
75619,32cm
75620,"129.54cm, 106.68cm"
75621,
75622,"9cm, 20m, 55cm"
75623,"18cm, 7.09in"
75624,"18cm, 7.09in"
75625,"11 cm, 5 cm"
75626, ml
75627,26cm
75628,"38cm, 95cm"
75629,"38cm, 95cm"
75630,"34.2inch, 87cm"
75631,"57.87 inch, 45.28 inch"
75632,10.2cm
75633,10.2cm
75634,10.2cm
75635,"35cm, 48cm"
75636,"35cm, 19cm"
75637,
75638,"8cm, 3.15in"
75639,"5.11 in, 13 cm, 2.55 in, 6.5 cm"
75640,"5.11 in, 13 cm, 2.55 in, 6.5 cm"
75641,
75642,"2.6cm, 4.4cm, 1.7in, 4.4cm, 1.7in"
75643,"2.6cm, 4.4cm, 1.7in, 4.4cm, 1.7in"
75644,
75645,
75646,
75647,35cm
75648,"15cm, 2.7cm"
75649,"15cm, 2.7cm"
75650,300lb
75651,"1.18inch, 0.16 inch, 0.75 inch"
75652,16cm
75653,16cm
75654,16cm
75655,200 cm
75656,"155mm, 6.1in, 149mm, 5.87in"
75657,
75658,"23.00cm, 9.04in"
75659,"23.00cm, 9.04in"
75660,
75661,
75662,
75663,
75664,"150w, 5v, 12v"
75665,
75666,
75667,8cm
75668,8cm
75669,"390mm, 390 mm"
75670,"21cm, 26in, 2.16in"
75671,"33.7cm, 13.3in, 30cm, 11.8in"
75672,"9mm, 43mm"
75673,"9mm, 43mm"
75674,
75675,19cm
75676,19cm
75677,"108mm, 70.9mm, 195mm, 143mm"
75678,"108mm, 70.9mm, 195mm, 143mm"
75679,
75680,"250cm, 250cm, 250cm"
75681,
75682,"0.7oz, 20g"
75683,"8.85in, 22.5cm, 8.85in"
75684,"8.85in, 22.5cm, 8.85in"
75685,"8.85in, 22.5cm, 8.85in"
75686,
75687,"15 cm, 26 cm, 7 cm"
75688,"3.15 inch, 5.52 inch, 33inch, 33inch"
75689,"3.15 inch, 5.52 inch, 33inch, 33inch"
75690,"3.15 inch, 5.52 inch, 33inch, 33inch"
75691,"3cm, 30cm, 11cm"
75692,"60mm, 150mm"
75693,"2 inch, 60mm, 9inch, 228mm"
75694,
75695,
75696,
75697,"40cm, 15.7in, 6in, 60cm"
75698,
75699,
75700,
75701,"7 cm, 13.5 cm"
75702,"7 cm, 13.5 cm"
75703,"65mm, 22mm, 80mm"
75704,
75705,"49.20inch, 125cm, 40cm, 50cm, 60cm, 50cm, 40cm, 15.75inch, 19.68inch, 23.62inch, 19.68inch, 15.75inch"
75706,"360 mm, 23.5 mm"
75707,"17.71in, 50cm, 39.37in, 68in"
75708,"17.71in, 50cm, 39.37in, 68in"
75709,
75710,
75711,
75712,12 inch
75713,12 inch
75714,"15.5cm, 2.5cm, 23.5cm"
75715,"11.75 in, 18.5 in, 11 in"
75716,"30cm, 11.8in, 42cm, 16.5in"
75717,"30cm, 11.8in, 42cm, 16.5in"
75718,
75719,
75720,40 cm
75721,"17cm, 9cm, 22cm"
75722,160 cm
75723,160 cm
75724,"5.9in, 0.3in, 3.5in, 3.3in, 4in, 3.9in, 1in"
75725,"5.9in, 0.3in, 3.5in, 3.3in, 4in, 3.9in, 1in"
75726,"6cm, 16cm, 7cm, 29cm, 24cm"
75727,9.5cm
75728,9.5cm
75729,9.5cm
75730,1 cm
75731,"43 cm, 16.9 in, 13 cm, 5.1 in, 31 cm, 12.2 in"
75732,
75733,
75734,
75735,
75736,
75737,
75738,
75739,27inch
75740,27inch
75741,"2.2 cm, 0.87 inch"
75742,"2.2 cm, 0.87 inch"
75743,"42cm, 30cm, 30cm"
75744,240 cm
75745,"12.5cm, 4.92in"
75746,"458mm, 409mm"
75747,3cm
75748,"230cm, 90.6in, 40cm, 15.7in, 140cm"
75749,"12cm, 4.72in"
75750,250w
75751,250w
75752,80.0 grams
75753,
75754,"4cm, 127cm"
75755,
75756,
75757,"5.5inch, 8inch"
75758,61cm
75759,61cm
75760,
75761,
75762,"31.5cm, 9.4cm"
75763,"63.8cm, 30.8cm, 30.5cm, 32cm, 34.8cm"
75764,"5cm, 3.3in, 5cm, 6.8in"
75765,
75766,
75767,
75768,61 cm
75769,"45mm, 1.8in, 33mm, 1.3in"
75770,"45mm, 1.8in, 33mm, 1.3in"
75771,"5cm, 1.96in, 49in"
75772,"5cm, 1.96in, 49in"
75773,
75774,
75775,"16 oz, 1 lb"
75776,"26 oz, 10g, 10g, 10g"
75777,"28mm, 1.1in, 70mm, 2.76in"
75778,"28mm, 1.1in, 70mm, 2.76in"
75779,220lbs
75780,
75781,"505 oz, 500g"
75782,"20.5mm, 53mm"
75783,"20.5mm, 53mm"
75784,"77in, 35cm"
75785,"77in, 35cm"
75786,56 cm
75787,56 cm
75788,"17mm, 30mm"
75789,"17mm, 30mm"
75790,"17mm, 30mm"
75791,"45cm, 125cm"
75792,"3.1inch, 4.9inch"
75793,"3.1inch, 4.9inch"
75794,"3.1inch, 4.9inch"
75795,22.5cm
75796,22.5cm
75797,"59 cm, 5 cm, 0 cm, 3 cm, 5 cm, 5 cm"
75798,"8cm, 28cm, 34cm"
75799,"76in, 7cm, 33cm, 99in, 38in"
75800,"30mm, 1.1in, 340mm, 13.3in"
75801,"2.8in, 12in"
75802,"3cm, 9inch"
75803,"3cm, 9inch"
75804,"3cm, 9inch"
75805,
75806,
75807,
75808,8mm
75809,
75810,
75811,
75812,
75813,"7in, 18cm, 6cm"
75814,"4cm, 1.6in, 6cm, 2.4in"
75815,"15.35 in, 39 cm, 8.46 in, 21.5 cm"
75816,"15.35 in, 39 cm, 8.46 in, 21.5 cm"
75817,
75818,
75819,"3.9 in, 10.0 cm"
75820,"8.5cm, 12cm"
75821,"8.5cm, 12cm"
75822,"12.5cm, 8cm"
75823,"12.5cm, 8cm"
75824,"6.5 cm, 2.5 inch, 1.60 inch, 13 cm, 5.10 inch"
75825,"110kg, 243lb"
75826,"3.94in, 9cm, 3.54in, 9.2cm, 3.62inch, 8cm, 3.15inch"
75827,"3.94in, 9cm, 3.54in, 9.2cm, 3.62inch, 8cm, 3.15inch"
75828,"41.5 cm, 29 cm, 385cm"
75829,"41.5 cm, 29 cm, 385cm"
75830,33mm
75831,
75832,
75833,"70mm, 27mm"
75834,"70mm, 27mm"
75835,"19cm, 6cm, 2.4in"
75836,12 cm
75837,"5.12in, 2.36in, 3.94in"
75838,"5.12in, 2.36in, 3.94in"
75839,"100 cm, 50 cm"
75840,
75841,1500w
75842,52 cm
75843,52 cm
75844,8 in
75845,8 in
75846,"3.14 in, 3.14 in, 7.87 in, 5.5 in"
75847,
75848,
75849,"13cm, 6cm"
75850,2 cm
75851,2 cm
75852,2 cm
75853,7.8cm
75854,7.8cm
75855,
75856,17cm
75857,5 oz
75858,
75859,35.5cm
75860,35.5cm
75861,
75862,
75863,
75864,"115v, 115v"
75865,"115v, 115v"
75866,"10.63in, 5.12in"
75867,"10.63in, 5.12in"
75868,"1.97in, 5 cm"
75869,"1.97in, 5 cm"
75870,"1.97in, 5 cm"
75871,45cm
75872,45cm
75873,
75874,20v
75875,20v
75876,
75877,
75878,"7.3 cm, 2.9in, 14.5 cm, 5.7 in"
75879,"7.3 cm, 2.9in, 14.5 cm, 5.7 in"
75880,58cm
75881,58cm
75882,"4.5in, 5.2in"
75883,"4.5in, 5.2in"
75884,"10.2in, 7.5in"
75885,"10.2in, 7.5in"
75886,"30cm, 13cm, 26cm"
75887,"12 cm, 4.72 in"
75888,"12 cm, 4.72 in"
75889,"12 cm, 4.72 in"
75890,
75891,1000w
75892,3mm
75893,
75894,
75895,"7cm, 8cm"
75896,"9 cm, 1.54 in, 4 cm, 4.48 in"
75897,"9 cm, 1.54 in, 4 cm, 4.48 in"
75898,"100cm, 45cm, 60cm"
75899,"100cm, 45cm, 60cm"
75900,147cm
75901,147cm
75902,
75903,
75904,"100 cm, 120 cm, 20 cm, 120 cm, 203 cm"
75905,60 cm
75906,
75907,"11.81 in, 30 cm"
75908,"6cm, 15.5cm"
75909,58 cm
75910,4.5 feet
75911,4.5 feet
75912,4.5 feet
75913,
75914,
75915,
75916,6.625in
75917,6.625in
75918,"157mm, 210mm, 47mm"
75919,
75920,
75921,"44cm, 36cm, 107cm, 87cm, 32cm"
75922,14.5 oz
75923,"3.7 inch, 2 inch"
75924,"3.7 inch, 2 inch"
75925,"270mm, 62in"
75926,"270mm, 62in"
75927,"13cm, 18cm, 9cm"
75928,
75929,
75930,
75931,
75932,"13.6in, 7in, 7.9in, 15.9in, 4in"
75933,13mm
75934,"2.5 cm, 3.5 cm"
75935,"2.5 cm, 3.5 cm"
75936,"25 cm, 22 cm"
75937,"25 cm, 22 cm"
75938,"3.54in, 4.33in"
75939,"3.54in, 4.33in"
75940,"3.5cm, 6.5cm"
75941,"3.5cm, 6.5cm"
75942,
75943,30mm
75944,30mm
75945,"5.6 in, 14.4 cm, 12.3 in, 31.3 cm"
75946,"5.6 in, 14.4 cm, 12.3 in, 31.3 cm"
75947,"1.7inch, 4.2cm, 2.4inch, 6.1cm"
75948,"1.7inch, 4.2cm, 2.4inch, 6.1cm"
75949,16mm
75950,16mm
75951,16mm
75952,"33cm, 34cm, 30cm"
75953,"2.7 inch, 3.4 inch"
75954,"2.7 inch, 3.4 inch"
75955,"120 mm, 256 mm"
75956,"120 mm, 256 mm"
75957,"4.2cm, 11.6cm"
75958,1.2cm
75959,"15cm, 5.91inch, 5.8cm, 2.28inch"
75960,"38cm, 26cm, 16cm, 26cm"
75961,"9ft, 7.9ft, 3.3ft"
75962,"9ft, 7.9ft, 3.3ft"
75963,
75964,"215mm, 970mm, 715mm, 350mm, 1070mm"
75965,
75966,
75967,"27cm, 24cm"
75968,"27cm, 24cm"
75969,
75970,
75971,30w
75972,"198.00cm, 77.81in, 3.93in"
75973,"198.00cm, 77.81in, 3.93in"
75974,"198.00cm, 77.81in, 3.93in"
75975,
75976,
75977,"125mm, 5.0 inch"
75978,"8.6cm, 3.38in, 58mm, 93mm, 7mm"
75979,"0.6in, 0.27in"
75980,"0.6in, 0.27in"
75981,"80 mm, 95 mm, 50mm"
75982,"80 mm, 95 mm, 50mm"
75983,"3cm, 51cm, 10cm, 8.3cm"
75984,
75985,
75986,
75987,
75988,
75989,9cm
75990,9cm
75991,9cm
75992,"34.6 cm, 21 cm, 12.4 cm"
75993,
75994,
75995,454g
75996,"4.13in, 10.5cm, 11.79in, 30m"
75997,"4.13in, 10.5cm, 11.79in, 30m"
75998,"13cm, 5.12in, 6cm, 4.53in"
75999,"13cm, 5.12in, 6cm, 4.53in"
76000,
76001,
76002,"28cm, 11in"
76003,"60 cm, 120 cm"
76004,"4.9 in, 12.5 cm, 4.5 in, 11 cm"
76005,"4.9 in, 12.5 cm, 4.5 in, 11 cm"
76006,25cm
76007,24.5cm
76008,2.5cm
76009,"30mm, 24mm, 40mm"
76010,"30mm, 24mm, 40mm"
76011,"6.5cm, 9.5cm, 2.3cm, 2.5cm, 2.5cm"
76012,"6.49 in, 16.5 cm"
76013,72inch
76014,72inch
76015,160 cm
76016,"6.1 in, 15.5 cm, 20 in, 7.87 in"
76017,"22cm, 8.66in, 18cm, 7.09in, 12cm, 4.72in, 18cm, 7.09in"
76018,
76019,
76020,
