index,prediction
9887,"180 cm, 50 cm"
9888,"180 cm, 50 cm"
9889,"8 inch, 5.9 inch, 20.3cm, 6 inch, 0.19 inch, 15.2cm, 1.5 inch, 3.9cm, 6.7 inch, 17cm"
9890,"5.8cm, 2.3in"
9891,"5.8cm, 2.3in"
9892,"15.8cm, 6.22in, 57in, 5.3cm"
9893,65 cm
9894,"33.5cm, 7ft, 16.5cm, 13.5cm"
9895,
9896,"35 cm, 62 cm, 25cm"
9897,"35 cm, 62 cm, 25cm"
9898,"40 cm, 31 cm"
9899,800 lbs
9900,
9901,
9902,
9903,"3in, 7.5cm"
9904,"3in, 7.5cm"
9905,"30cm, 20cm"
9906,"30cm, 20cm"
9907,
9908,"3.0 inch, 4.1 inch"
9909,"3.0 inch, 4.1 inch"
9910,340mm
9911,340mm
9912,
9913,
9914,
9915,
9916,"4cm, 3cm, 3inch"
9917,"4cm, 3cm, 3inch"
9918,
9919,
9920,
9921,10 oz
9922,
9923,"21cm, 8.4cm, 6cm, 13cm"
9924,"103cm, 560m"
9925,
9926,"44cm, 86cm, 41cm, 52cm, 5cm"
9927,2.2cm
9928,2.2cm
9929,2.2cm
9930,0 cm
9931,0 cm
9932,125g
9933,2.7cm
9934,2.7cm
9935,48cm
9936,48cm
9937,
9938,58 cm
9939,
9940,
9941,
9942,"3.7 in, 9.5 cm, 3 in, 36.4 cm"
9943,"3.7 in, 9.5 cm, 3 in, 36.4 cm"
9944,"16.3cm, 16.3cm"
9945,"16.3cm, 16.3cm"
9946,"16.3cm, 16.3cm"
9947,20cm
9948,20cm
9949,
9950,20w
9951,20w
9952,"27mm, 27mm, 25mm"
9953,
9954,
9955,
9956,
9957,
9958,17.6kg
9959,"15.2cm, 14cm, 14cm"
9960,
9961,"35cm, 13.78in, 15cm, 5.91in"
9962,"35cm, 13.78in, 15cm, 5.91in"
9963,"19cm, 12cm"
9964,
9965,42.5cm
9966,"17 cm, 6.6 in, 14.5 in"
9967,12v
9968,
9969,"8.14 in, 20.7 cm, 10.77 in, 27.4 cm"
9970,"8.14 in, 20.7 cm, 10.77 in, 27.4 cm"
9971,"28mm, 14mm, 17mm, 0.67inch, 19mm"
9972,
9973,"17cm, 14cm"
9974,
9975,
9976,"6 m, 90 cm"
9977,"1.5 in, 4 cm, 10.0 in, 25.5 cm"
9978,7 inch
9979,7 inch
9980,7 inch
9981,"7.5in, 19.05 cm, 1.75 in, 4.44 cm"
9982,"7.5in, 19.05 cm, 1.75 in, 4.44 cm"
9983,
9984,"21cm, 18cm"
9985,"21cm, 18cm"
9986,
9987,"42cm, 67cm"
9988,
9989,"5.7 in, 14.5 cm, 2.4 in, 6.0 cm"
9990,"5.7 in, 14.5 cm, 2.4 in, 6.0 cm"
9991,"4cm, 3cm"
9992,"4cm, 3cm"
9993,"4.7 in, 12 cm"
9994,"35cm, 13.8in, 7cm, 2.8in, 18cm, 7.1in"
9995,"13mm, 21mm"
9996,"13mm, 21mm"
9997,"118cm, 46.45in, 103cm, 32cm, 12.59in"
9998,"70 cm, 5 cm, 6 cm, 6 cm, 30 cm, 6 cm, 7 cm"
9999,
10000,"70mm, 120mm"
10001,"70mm, 120mm"
10002,"70mm, 120mm"
10003,"2.7 in, 7 cm"
10004,"2.7 in, 7 cm"
10005,
10006,
10007,
10008,"1.2 in, 3.0 cm, 1.6 in, 4.0 cm"
10009,"1.2 in, 3.0 cm, 1.6 in, 4.0 cm"
10010,"21cm, 8.26in, 5.5cm, 2.16in"
10011,"21cm, 8.26in, 5.5cm, 2.16in"
10012,"9.1 in, 23.0 cm, 2.8 in, 7.0 cm"
10013,"9.1 in, 23.0 cm, 2.8 in, 7.0 cm"
10014,3.7v
10015,"150kg, 330lbs, 8kg"
10016,
10017,
10018,
10019,
10020,
10021,7.08in
10022,
10023,400g
10024,
10025,"63.5cm, 25in, 33cm, 13in"
10026,"63.5cm, 25in, 33cm, 13in"
10027,
10028,"9.6cm, 19.6cm"
10029,"9.6cm, 19.6cm"
10030,
10031,30kg
10032,109cm
10033,
10034,"400lb, 180kg, 5kg"
10035,"035 mm, 123 mm"
10036,"035 mm, 123 mm"
10037,10.5cm
10038,10.5cm
10039,"12.1 cm, 11.4 cm"
10040,"12.1 cm, 11.4 cm"
10041,9 cm
10042,9 cm
10043,
10044,
10045,"5.82 in, 14.8 cm"
10046,"5.82 in, 14.8 cm"
10047,"0g, 28g, 7g, 0g"
10048,"1.8in, 2.8in, 7cm, 8in, 7cm"
10049,
10050,"20cm, 8in"
10051,"2.3 in, 6 cm"
10052,"2.3 in, 6 cm"
10053,150kg
10054,
10055,
10056,35mm
10057,35mm
10058,
10059,
10060,
10061,
10062,
10063,
10064,
10065,
10066,80g
10067,"58cm, 22.8inch"
10068,"58cm, 22.8inch"
10069,"58cm, 22.8inch"
10070,
10071,"210 mm, 148 mm"
10072,"210 mm, 148 mm"
10073,
10074,"4.5cm, 10.2cm, 10.2cm"
10075,9inch
10076,9inch
10077,9inch
10078,
10079,40 cm
10080,80cm
10081,80cm
10082,
10083,
10084,15g
10085,"12cm, 25cm"
10086,"12cm, 25cm"
10087,
10088,"30cm, 30cm"
10089,
10090,
10091,"0.78in, 7.0in"
10092,"0.78in, 7.0in"
10093,
10094,
10095,60g
10096,"11cm, 23cm, 34cm"
10097,120 cm
10098,"4cm, 12.9cm"
10099,"11cm, 27cm"
10100,
10101,35 cm
10102,35 cm
10103,
10104,1.35kg
10105,
10106,
10107,
10108,"8gb, 256gb"
10109,"8gb, 256gb"
10110,"2.55 in, 6.5 cm"
10111,0.206 lb
10112,
10113,
10114,
10115,
10116,220lbs
10117,110v
10118,110v
10119,"167.3mm, 47.6mm, 140mm"
10120,
10121,"16.5 in, 42 cm"
10122,"16.5 in, 42 cm"
10123,"330lbs, 330lbs"
10124,60lbs
10125,
10126,"12 oz, 340g"
10127,
10128,
10129,
10130,"15.2cm, 15.5cm, 15.5cm"
10131,"5.5cm, 5.5cm, 10cm, 3.9in, 3.5cm, 4in, 5.5cm"
10132,
10133,"5.78 in, 14.7 cm, 3.58 in, 9.1 cm"
10134,"5.78 in, 14.7 cm, 3.58 in, 9.1 cm"
10135,"5.78 in, 14.7 cm, 3.58 in, 9.1 cm"
10136,
10137,
10138,
10139,5v
10140,16mm
10141,16mm
10142,200mg
10143,
10144,
10145,
10146,
10147,
10148,
10149,
10150,"279 mm, 10.98 in"
10151,"279 mm, 10.98 in"
10152,
10153,
10154,"1.33 lb, 0.60 kg"
10155,380 mm
10156,380 mm
10157,
10158,180cm
10159,180cm
10160,
10161,
10162,
10163,
10164,"62cm, 47.5cm"
10165,"164mm, 6.46in, 164mm, 6.46in"
10166,3.7 kg
10167,
10168,
10169,
10170,
10171,
10172,8 cm
10173,"9.2 in, 23.5 cm, 6.4 in, 16.5 cm"
10174,"9.2 in, 23.5 cm, 6.4 in, 16.5 cm"
10175,"15cm, 20cm"
10176,"15cm, 20cm"
10177,"15cm, 20cm"
10178,10.58 oz
10179,
10180,
10181,"255mm, 63mm, 80mm"
10182,"3in, 2.2in"
10183,"3in, 2.2in"
10184,"52cm, 15cm"
10185,
10186,
10187,
10188,
10189,
10190,22cm
10191,22cm
10192,22cm
10193,"1.2 in, 3.1 cm"
10194,"1.2 in, 3.1 cm"
10195,
10196,
10197,
10198,
10199,
10200,
10201,"44cm, 86cm, 41cm, 52cm, 5cm"
10202,"44cm, 86cm, 41cm, 52cm, 5cm"
10203,
10204,"9.4 in, 24.0 cm, 4.1 in, 10.3 cm"
10205,"9.4 in, 24.0 cm, 4.1 in, 10.3 cm"
10206,50 cm
10207,50 cm
10208,
10209,
10210,"6g, 6g"
10211,3w
10212,3w
10213,7cm
10214,
10215,90 cm
10216,"14.3cm, 5.6in"
10217,"14.3cm, 5.6in"
10218,330lbs
10219,
10220,
10221,
10222,
10223,
10224,
10225,
10226,
10227,
10228,
10229,
10230,
10231,
10232,
10233,
10234,
10235,"20 kg, 300 g"
10236,72in
10237,
10238,
10239,
10240,"50 cm, 89 cm"
10241,"50 cm, 89 cm"
10242,"30cm, 19cm"
10243,"l, l"
10244,3.3ft
10245,3.3ft
10246,180lbs
10247,
10248,
10249,31g
10250,"203cm, 183cm"
10251,"6w, 6w, 220v"
10252,"6w, 6w, 220v"
10253,1500g
10254,
10255,10.5cm
10256,10.5cm
10257,47 cm
10258,47 cm
10259,
10260,
10261,
10262,
10263,
10264,21.5cm
10265,21.5cm
10266,
10267,
10268,190mm
10269,190mm
10270,
10271,"9.8 in, 25 cm"
10272,"9.8 in, 25 cm"
10273,
10274,
10275,
10276,5cm
10277,
10278,
10279,1.7cm
10280,1.7cm
10281,300 lbs
10282,"82cm, 135cm, 260cm"
10283,
10284,
10285,
10286,"45cm, 18in"
10287,3inch
10288,3inch
10289,
10290,"3.4kg, 4.5kg"
10291,
10292,
10293,
10294,3000 lbs
10295,5cm
10296,5cm
10297,5cm
10298,
10299,
10300,"174 lb, 792 g"
10301,3.90kg
10302,216lb
10303,
10304,
10305,
10306,
10307,"43cm, 30cm, 40cm, 21cm, 21cm, 40cm"
10308,
10309,"16.5 in, 5.2 in, 13 in"
10310,680g
10311,
10312,
10313,13.2cm
10314,"15.5cm, 12cm, 6.3cm"
10315,
10316,70cm
10317,70cm
10318,70cm
10319,
10320,
10321,
10322,
10323,"9.4in, 24 cm, 20.8 in, 53 cm"
10324,"9.4in, 24 cm, 20.8 in, 53 cm"
10325,"5.0in, 12.6cm, 3.1in, 7.8cm"
10326,"5.0in, 12.6cm, 3.1in, 7.8cm"
10327,"5.0in, 12.6cm, 3.1in, 7.8cm"
10328,"9cm, 13cm"
10329,"9cm, 13cm"
10330,"3.9inch, 5.3cm, 2.1inch"
10331,"3.9inch, 5.3cm, 2.1inch"
10332,
10333,"18mm, 89cm, 35in, 0.79in"
10334,"114 cm, 60 cm"
10335,"114 cm, 60 cm"
10336,300kg
10337,300kg
10338,570.9g
10339,
10340,"30cm, 11.81in"
10341,"30cm, 11.81in"
10342,"30cm, 11.81in"
10343,460 mm
10344,"5.5cm, 24.5cm"
10345,"37mm, 37mm"
10346,"14cm, 5.50in, 12cm, 4.72in"
10347,"14cm, 5.50in, 12cm, 4.72in"
10348,"14cm, 5.50in, 12cm, 4.72in"
10349,
10350,
10351,
10352,15.74inch
10353,"48mm, 63mm"
10354,"48mm, 63mm"
10355,40 cm
10356,"0.59 in, 1.5 cm, 0.75 in, 1.9 cm"
10357,"0.59 in, 1.5 cm, 0.75 in, 1.9 cm"
10358,
10359,
10360,"17cm, 12.8cm"
10361,"17cm, 12.8cm"
10362,
10363,"15.5cm, 6.1in, 3cm, 1.2in"
10364,"15.5cm, 6.1in, 3cm, 1.2in"
10365,"255mm, 10.04inch, 85mm, 3.35inch"
10366,"255mm, 10.04inch, 85mm, 3.35inch"
10367,
10368,
10369,60 gram
10370,"11.7cm, 6cm, 5.7cm, 2.7cm"
10371,5lb
10372,80 cm
10373,"74mm, 2.95inch, 3.54inch, 53mm, 2.08inch"
10374,"2.87in, 7.3cm, 3.9in, 10cm"
10375,"2.87in, 7.3cm, 3.9in, 10cm"
10376,17.2 oz
10377,"9cm, 6 cm"
10378,8cm
10379,8cm
10380,
10381,
10382,
10383,
10384,"8.26 in, 21 cm, 16.1 in, 41 cm"
10385,"8.26 in, 21 cm, 16.1 in, 41 cm"
10386,
10387,
10388,
10389,
10390,
10391,"7.0 in, 17.8 cm, 3.9 in, 10.0 cm"
10392,"7.0 in, 17.8 cm, 3.9 in, 10.0 cm"
10393,11cm
10394,
10395,"16cm, 120cm"
10396,
10397,
10398,
10399,6v
10400,
10401,"24 cm, 40 cm"
10402,"24 cm, 40 cm"
10403,
10404,
10405,"3.5 inch, 5.5 inch, 1.65 inch"
10406,"20v, 20v"
10407,
10408,"21cm, 8.3inch"
10409,"21cm, 8.3inch"
10410,"21cm, 8.3inch"
10411,"77mm, 97 mm"
10412,"77mm, 97 mm"
10413,"5.6 in, 14.3 cm, 3.6 in, 9.2 cm"
10414,"5.6 in, 14.3 cm, 3.6 in, 9.2 cm"
10415,"27.9mm, 1500mm"
10416,"27.9mm, 1500mm"
10417,
10418,
10419,
10420,
10421,
10422,
10423,"390 mm, 110 mm"
10424,"390 mm, 110 mm"
10425,"120v, 48w"
10426,"120v, 48w"
10427,
10428,
10429,
10430,"10.23 in, 26 cm, 10.23 in, 26 cm"
10431,"10.23 in, 26 cm, 10.23 in, 26 cm"
10432,"5 cm, 13cm"
10433,"5 cm, 13cm"
10434,
10435,"45 cm, 6 cm, 36.5 cm"
10436,120 cm
10437,120 cm
10438,
10439,
10440,390g
10441,"2.36in, 6cm, 10.61in, 27cm"
10442,"2.36in, 6cm, 10.61in, 27cm"
10443,
10444,"144 cm, 1 cm"
10445,"3.94in, 0.2in, 2in"
10446,"36w, 120v"
10447,
10448,"36w, 120v"
10449,
10450,
10451,5 cm
10452,"9.13 in, 23.2 cm, 11.61 in, 29.5 cm, 2.75 in, 7 cm, 2.75 in, 7 cm"
10453,"9.13 in, 23.2 cm, 11.61 in, 29.5 cm, 2.75 in, 7 cm, 2.75 in, 7 cm"
10454,"61mm, 93mm"
10455,"61mm, 93mm"
10456,
10457,"25cm, 49cm"
10458,"25cm, 49cm"
10459,"25cm, 49cm"
10460,"25cm, 49cm"
10461,
10462,
10463,"150cm, 30cm, 3cm"
10464,"150cm, 30cm, 3cm"
10465,
10466,"10.0 in, 25.5 cm, 6.5 in, 16.5 cm"
10467,"10.0 in, 25.5 cm, 6.5 in, 16.5 cm"
10468,
10469,"7 cm, 5 cm"
10470,"7 cm, 5 cm"
10471,"9.5cm, 15.5cm"
10472,"2.4 in, 6 cm, 9.4 in, 24 cm, 6.7 in"
10473,
10474,"60 cm, 13 cm"
10475,"24cm, 21cm"
10476,"24cm, 21cm"
10477,"31cm, 40cm"
10478,"11.52cm, 4.52in"
10479,
10480,"170mm, 130mm, 180mm"
10481,
10482,
10483,"22 cm, 5 cm, 19 cm"
10484,"6.7 in, 17 cm, 2.7 in, 6.8 cm"
10485,"6.7 in, 17 cm, 2.7 in, 6.8 cm"
10486,"160cm, 62.9in"
10487,"160cm, 62.9in"
10488,"16g, 2 lbs"
10489,
10490,
10491,"8oz, 226g"
10492,17.8cm
10493,"5.5 in, 14 cm"
10494,"5.5 in, 14 cm"
10495,"25cm, 9.84in, 2.3 in, 6.0 cm"
10496,"25cm, 9.84in, 2.3 in, 6.0 cm"
10497,"58cm, 36cm"
10498,"58cm, 36cm"
10499,30cm
10500,30cm
10501,
10502,27cm
10503,27cm
10504,27cm
10505,
10506,
10507,
10508,"15w, 5v"
10509,23cm
10510,23cm
10511,23cm
10512,
10513,
10514,61 cm
10515,
10516,"6.5inch, 6.3inch, 16cm, 8.66inch, 22cm"
10517,
10518,67lbs
10519,
10520,
10521,
10522,23cm
10523,
10524,"8gb, 128gb"
10525,"8gb, 128gb"
10526,
10527,"26cm, 9cm, 15cm"
10528,"6 in, 150 cm"
10529,"6 in, 150 cm"
10530,
10531,
10532,
10533,"3.3 in, 8.5 cm, 6.6 in, 17.0 cm"
10534,"3.3 in, 8.5 cm, 6.6 in, 17.0 cm"
10535,"3.3 in, 8.5 cm, 6.6 in, 17.0 cm"
10536,"6.25 in, 22 in, 7.5 in, 23.5 in"
10537,"5cm, 5cm, 5cm"
10538,17 cm
10539,17 cm
10540,800 gb
10541,800 gb
10542,28.5cm
10543,
10544,
10545,"265lbs, 265 lbs"
10546,
10547,
10548,"10 cm, 220 cm, 5 cm"
10549,
10550,"8inch, 13inch"
10551,"8inch, 13inch"
10552,96g
10553,"76cm, 75cm, 22cm"
10554,
10555,
10556,210cm
10557,210cm
10558,
10559,
10560,105g
10561,
10562,
10563,
10564,
10565,
10566,"6.2 in, 16 cm"
10567,"6.2 in, 16 cm"
10568,
10569,
10570,
10571,"15cm, 48cm"
10572,"15cm, 48cm"
10573,
10574,
10575,"1000g, 0.001g"
10576,
10577,
10578,
10579,
10580,
10581,
10582,35cm
10583,35cm
10584,"3.9 in, 10.0 cm, 3.7 in, 9.5 cm"
10585,"3.9 in, 10.0 cm, 3.7 in, 9.5 cm"
10586,
10587,220lbs
10588,
10589,"1.8in, 5cm"
10590,
10591,
10592,"220v, 240v, 300w"
10593,"220v, 240v, 300w"
10594,"1.4 in, 3.8 cm, 1.9 in"
10595,"1.4 in, 3.8 cm, 1.9 in"
10596,94.5 cm
10597,
10598,
10599,
10600,"400lbs, 330lbs"
10601,96 cm
10602,
10603,
10604,
10605,"51mm, 51mm"
10606,
10607,
10608,
10609,3g
10610,6w
10611,
10612,"53cm, 20.86inch"
10613,"53cm, 20.86inch"
10614,20 cm
10615,
10616,
10617,1gb
10618,
10619,"75mm, 33mm, 17mm"
10620,"75mm, 33mm, 17mm"
10621,5 cm
10622,"2.8 inch, 2 inch, 4 inch"
10623,
10624,330lbs
10625,3000 lb
10626,"72inch, 183cm"
10627,"72inch, 183cm"
10628,120v
10629,
10630,"8.8 in, 5 cm, 17.3 in, 44 cm"
10631,"8.8 in, 5 cm, 17.3 in, 44 cm"
10632,"110mm, 33in"
10633,"110mm, 33in"
10634,124g
10635,
10636,
10637,
10638,"191 mm, 5.1 cm"
10639,"191 mm, 5.1 cm"
10640,"191 mm, 5.1 cm"
10641,16mm
10642,16mm
10643,"17 cm, 1.10 in, 2.8 cm"
10644,"17 cm, 1.10 in, 2.8 cm"
10645,1.2 inch
10646,1.2 inch
10647,
10648,
10649,
10650,
10651,
10652,"29.4 inch, 16 inch"
10653,"6.2 in, 16 cm, 3.1 in, 8 cm"
10654,"6.2 in, 16 cm, 3.1 in, 8 cm"
10655,"6.2 in, 16 cm, 3.1 in, 8 cm"
10656,
10657,
10658,
10659,"2.6in, 2.2in, 1.2in, 6in"
10660,"35 inch, 17.75 inch"
10661,"16cm, 6.30in"
10662,0 g
10663,
10664,"0.3937inch, 150mm"
10665,"0.3937inch, 150mm"
10666,"4.7 in, 12 cm, 4.7 in, 12 cm"
10667,
10668,"11.02 in, 25 cm, 3.07 in, 7.8 cm"
10669,"11.02 in, 25 cm, 3.07 in, 7.8 cm"
10670,"0 in, 63.2cm, 16.5 in, 5 in"
10671,"52cm, 42cm"
10672,"52cm, 42cm"
10673,"2g, 250mg, 4g, 20g, 1.7mg, 130mg"
10674,
10675,"20v, 20v"
10676,
10677,"36.6 cm, 147.3 cm, 15 ft"
10678,
10679,
10680,"7.9 in, 20.0 cm, 4.7 in, 12.0 cm"
10681,"7.9 in, 20.0 cm, 4.7 in, 12.0 cm"
10682,"7.9 in, 20.0 cm, 4.7 in, 12.0 cm"
10683,"3.5 cm, 1.37 in"
10684,"3.5 cm, 1.37 in"
10685,
10686,
10687,"18w, 5v"
10688,
10689,"74 inch, 48 inch"
10690,
10691,"8.3in, 21cm, 5.1in, 13cm"
10692,"8.3in, 21cm, 5.1in, 13cm"
10693,
10694,226.7g
10695,14cm
10696,14cm
10697,
10698,140 cm
10699,140 cm
10700,140 cm
10701,5.5 cm
10702,150mm
10703,150mm
10704,150mm
10705,
10706,
10707,
10708,
10709,
10710,9.6 volt
10711,9.6 volt
10712,
10713,55in
10714,55in
10715,
10716,
10717,"20cm, 7.86in, 9.5cm, 3.73in"
10718,"20cm, 7.86in, 9.5cm, 3.73in"
10719,
10720,"110v, 400w"
10721,"110v, 400w"
10722,
10723,
10724,
10725,
10726,"1.8 in, 4.8 cm"
10727,"2in, 5.1cm"
10728,"2in, 5.1cm"
10729,
10730,
10731,"30mm, 150mm"
10732,"30mm, 150mm"
10733,"8.5cm, 8cm"
10734,"8.5cm, 8cm"
10735,
10736,"142.24cm, 17.74cm, 6 cm"
10737,"11.6cm, 4.56in"
10738,"11.6cm, 4.56in"
10739,"0.45in, 1.15cm, 3.93in, 10cm"
10740,"6cm, 6cm, 6cm, 8cm, 8cm, 8cm"
10741,"3.6m, 2.7m"
10742,"3.6m, 2.7m"
10743,
10744,
10745,330 lbs
10746,"16.6cm, 9.3cm, 3.7in"
10747,"16.6cm, 9.3cm, 3.7in"
10748,
10749,"100mm, 50mm"
10750,2lb
10751,
10752,
10753,
10754,"5cm, 2 inch, 2 inch"
10755,
10756,
10757,
10758,"7.8 in, 20 cm, 3.2 in, 8.3 cm"
10759,"7.8 in, 20 cm, 3.2 in, 8.3 cm"
10760,"7.8 in, 20 cm, 3.2 in, 8.3 cm"
10761,
10762,9in
10763,9in
10764,9in
10765,"9.4 in, 24.0 cm"
10766,"9.4 in, 24.0 cm"
10767,"120 cm, 74 cm, 65 cm"
10768,"120 cm, 74 cm, 65 cm"
10769,
10770,
10771,"55mm, 2.16in"
10772,"55mm, 2.16in"
10773,20.3 cm
10774,20.3 cm
10775,
10776,
10777,
10778,
10779,
10780,"10 cm, 4 inch"
10781,"10 cm, 4 inch"
10782,"10 cm, 4 inch"
10783,"13cm, 36cm"
10784,130g
10785,"77 cm, 7 cm"
10786,"77 cm, 7 cm"
10787,5 lbs
10788,
10789,"25lbs, 3kg"
10790,
10791,
10792,"12v, 12v"
10793,
10794,"12v, 12v"
10795,
10796,"45.3 in, 115 cm, 4.7 in, 12 cm"
10797,"45.3 in, 115 cm, 4.7 in, 12 cm"
10798,
10799,
10800,"25mm, 98in"
10801,"25mm, 98in"
10802,"25mm, 98in"
10803,660 lbs
10804,660 lbs
10805,220v
10806,
10807,170kg
10808,6w
10809,6w
10810,220v
10811,220v
10812,12inch
10813,12inch
10814,
10815,"240 cm, 210 cm"
10816,"240 cm, 210 cm"
10817,
10818,
10819,"3.1 in, 1.9 in, 5.0 cm"
10820,"3.1 in, 1.9 in, 5.0 cm"
10821,"4v, 74v"
10822,"4v, 74v"
10823,"040 cm, 026 cm"
10824,"7.0 in, 17.7 cm, 2.4 in, 6 cm"
10825,"7.0 in, 17.7 cm, 2.4 in, 6 cm"
10826,"2.7 in, 6.9 cm, 1.4 in, 3.6 cm"
10827,"2.7 in, 6.9 cm, 1.4 in, 3.6 cm"
10828,"13mm, 0.51in"
10829,"13mm, 0.51in"
10830,"4.3cm, 1.69in"
10831,"4.3cm, 1.69in"
10832,8g
10833,
10834,
10835,
10836,"23mm, 21mm"
10837,
10838,
10839,175mm
10840,175mm
10841,
10842,
10843,
10844,
10845,
10846,"17cm, 22cm, 33cm"
10847,"5v, 5v"
10848,"70mm, 12cm, 38mm"
10849,"4 cm, 8 cm, 4 cm"
10850,
10851,"2.8in, 7cm"
10852,"2.8in, 7cm"
10853,
10854,
10855,
10856,300lbs
10857,"6.69 in, 17 cm, 3.78 in, 9.6 cm, 2.56 in, 6.5 cm, 3.15 in, 8 cm"
10858,12v
10859,"15cm, 15cm"
10860,"15cm, 15cm"
10861,
10862,
10863,
10864,
10865,
10866,"160 cm, 0 cm"
10867,
10868,"52cm, 44cm"
10869,20cm
10870,20cm
10871,"8cm, 23cm, 29.5cm, 8cm, 12cm, 23cm, 23cm"
10872,
10873,"57.40 inch, 4.37 inch, 4.37 inch"
10874,"57.40 inch, 4.37 inch, 4.37 inch"
10875,907g
10876,
10877,38cm
10878,38cm
10879,16mm
10880,16mm
10881,
10882,
10883,
10884,
10885,"400 mm, 150 mm"
10886,"7.0 in, 18 cm"
10887,"7.0 in, 18 cm"
10888,
10889,
10890,
10891,
10892,5cm
10893,5cm
10894,"240mm, 190mm, 128mm"
10895,"240mm, 190mm, 128mm"
10896,
10897,
10898,
10899,220lbs
10900,3kg
10901,"12.2 in, 31.0 cm, 6.2 in, 16.0 cm"
10902,
10903,"62.2 cm, 35 cm, 18.5 cm"
10904,"62.2 cm, 35 cm, 18.5 cm"
10905,236g
10906,
10907,
10908,"4.4in, 11 cm"
10909,"4.4in, 11 cm"
10910,198g
10911,
10912,
10913,
10914,937mm
10915,937mm
10916,937mm
10917,
10918,
10919,
10920,
10921,
10922,30.4cm
10923,"600mm, 650mm, 145mm"
10924,"7oz, 198g"
10925,57.3 lbs
10926,
10927,"22cm, 29cm"
10928,"22cm, 29cm"
10929,75 g
10930,
10931,112g
10932,
10933,
10934,"10g, 5g"
10935,"40mm, 30mm"
10936,"40mm, 30mm"
10937,"40mm, 30mm"
10938,"54 mm, 2.13in"
10939,"54 mm, 2.13in"
10940,"60w, 6w"
10941,"60w, 6w"
10942,"98inch, 10.23inch"
10943,
10944,
10945,30mm
10946,30mm
10947,
10948,
10949,1oz
10950,"220v, 1200w"
10951,"220v, 1200w"
10952,"43 cm, 43 cm"
10953,"3.9in, 9.7cm, 3.8in"
10954,"3.9in, 9.7cm, 3.8in"
10955,"49 oz, 57 g"
10956,"35cm, 27cm"
10957,
10958,
10959,
10960,
10961,
10962,16.5cm
10963,16.5cm
10964,"30g, 10g, 2.5g, 25mg, 14g, 8g, 4g"
10965,
10966,
10967,"4 cm, 72 cm, 90 cm"
10968,"23.5cm, 136cm, 25cm"
10969,"6.1 in, 15.5 cm, 3.1 in, 8.0 cm"
10970,"6.1 in, 15.5 cm, 3.1 in, 8.0 cm"
10971,"1.18 in, 3 cm"
10972,7.72lb
10973,"30cm, 11.8in"
10974,
10975,"3.94in, 18cm, 7.09in"
10976,
10977,
10978,
10979,
10980,
10981,"2.17in, 3.35in"
10982,"2.17in, 3.35in"
10983,
10984,
10985,
10986,
10987,
10988,
10989,0.95kg
10990,"200 mm, 200 mm"
10991,900mg
10992,450lbs
10993,"7.6 inch, 19.3 cm"
10994,"7.6 inch, 19.3 cm"
10995,12v
10996,
10997,"1.25m, 49.21in, 2.21m, 87.01in"
